"x"	Positive	Negative
"@Delta has a great ambassador in pilot Scott Anderson out of MN. Sat w/him on flight from SMF-SLC. Made up for sketchy svc last few days."	3	-2
"@DougStanhope @Delta @DeltaAssist HAPPY BIRTHDAY DOUG!!!!!! I WISH YOU TO HAVE A GREAT, FUNNY AND CREATIVE YEAR!!!!"	3	-1
"@RealJeffJarrett @Delta @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling thats it jeff love 	3	-1
What you guys are doing. Ty from the fans"	1	-1
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"RT @RockinForRice: Last event @SalSports took home the @Delta round trip tix. Might it be you tomorrow? https://t.co/AcW6pex3M5 Tix at http "	1	-1
"@Delta the flight crew for flight DL 1385 has been doing a great job! However a few drink vouchers would probably help with the delay  ed  U 00A0  U 00BD  ed  U 00B8  U 0087  ed  U 00A0  U 00BD  ed  U 00B9  U 0083 "	3	-2
"Can @Delta do better for these #frequentfliers https://t.co/YvcQ7IyZ4i"	1	-1
"Hey @Delta What's going on with flight 3810 from Quebec to NYC."	2	-1
"@Delta @HeathrowAirport @ATLairport Medical diversion via  @paul_deegan"	1	-1
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"@Delta I left a jacket on flight 0025 DUS-ATL around row 9. Please help- I'm still at the airport."	2	-1
"Travel Tip: Did you know that even if you aren't flying @Delta you can still use the Fly Delta app to navigate the airport? #SpringBreak2017"	1	-1
"@Delta OK something got fixed. Moving along now."	1	-1
"@Michaelkelly707 @Delta @HeathrowAirport @ATLairport medical"	1	-1
". @Delta Flight #DL33 from @HeathrowAirport  to @ATLairport  is diverting to #DublinAirport #avgeek https://t.co/wyQBD8uL2A"	1	-1
"@Barnacules @AlaskaAir @Delta Do you ever take a photo with a normal facial expression?"	1	-1
"Thank you @Delta for coming through with a bereavement flight for my parents. You continue to be my one &amp; only choice for flying.  ed  U 00A0  U 00BD  ed  U 00B2  U 0095 "	2	-4
"@Delta always going above and beyond with a hand written, hand delivered birthday card. Thank you! https://t.co/kwc2O4Tako"	2	-1
"RT @estevezandrea: Por favor pido a @Delta Airlines  se hagan responsable de manera urgente por el robo de pertenec as valiosas en mi valij "	2	-1
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"RT @Delta: @wazhlon Hi, thanks for sharing the view! :-)  Enjoy your flight and thanks for choosing Delta.  *ML"	3	-1
"RT @NatalieJEMCPS: @Delta #WhatADoctorLooksLike #BlackWomanDoctor https://t.co/dG6erwYIov"	1	-1
"@RealJeffJarrett @Delta @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling just saw you on the same plane as me! Keep up the great work!"	3	-1
"RT @TheOnlyDetox: Someone's pissed she's not in business, &amp; someone's antagonizing her for it. @TheVickyVox  @Delta #FeelingVeryDiamond htt "	1	-3
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"RT @Lakers: Your chance to join @JClark5on, @Delta and @Chris_Stamp to collaborate on the ultimate fashion look: https://t.co/4O1AptE2rL No "	1	-1
"@Delta your attendants refused to offer me food and a place to stay till the other flight. 24h on my own. I'll never flight @Delta again!"	1	-2
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"@garyleff I can live with the new firearm procedures as long as @Delta applies consistently. Note to self keep zip tie cutters in other bag!"	1	-1
"@Delta The kids channel in you're planes are playing overwatch porn. My 6 year old son keeps watching \"Mercy gets fucked in the ass\""	2	-3
"@Delta so for clarification, the poster tube will count as my personal item?"	1	-1
"@Delta I purchased a ticket today for a 10:25pm flight. Is there a cutoff time before which I would need to cancel to qualify for a refund?"	1	-2
"@Delta just boarded 3497, so I won't need the backup after all.  Thanks!"	2	-1
"@Delta like what am I suppose to do, god forbid anything happens to me we are gonna have to land this plane and take my ass to the hospital"	2	-2
"@Delta flight attendants are total jerks about my SEVERE nut allergy, saying I don't have the correct paperwork, \"they only have peanuts\""	1	-4
"@Delta I have things missing from my bag and some extra items in it (???) What should I do? I had a tsa lock on it too"	1	-1
"RT @macandsoul: @etnow @DrJimmyStar @nine_oh 	1	-1
@workwthecoach @kazaston  @Morris_Chestnut @Delta 	1	-1
Have a great Monday#thx4support	3	-1
@TayeDiggs "	1	-1
"RT @SAZ_KSA: So disgusting, I am in shock. Shame on @Delta for kicking Muslims out for speaking Arabic!! I'm so sorry @omgAdamSaleh #boycot "	2	-4
".@Delta I love when I leave Skyclub to board and boarding is delayed."	3	-1
"RT @passagensaereas: Aten  o cariocas: tem rota nova chegando ao @RIOgaleao ! A @Delta pretende ligar o Rio U 26F1  a Nova York ed  U 00A0  U 00BD  ed  U 00B7  U 00BD .  U 27A1  U FE0F : https://t.co "	1	-1
"SCORE!  Just got my first free @Delta upgrade to first class after being silver for 2 years.  #4HourFlightJustGotBetter	1	-1
  	1	-1
@BradEdgeworth"	1	-1
"@Delta Is there a charge if I want to try and catch an earlier flight from my scheduled flight tomorrow morning?"	1	-2
"@Delta Like do they only have one person working on Saturdays or something?"	2	-1
"@Delta Any idea what's going on at DTW immigration? Huge line, barely moving. You'll have lots of misconnects if this keeps up."	1	-1
"@RealJeffJarrett @IMPACTWRESTLING @Delta @WOSWrestlingITV @GFWWrestling across the world to find something already  https://t.co/TSfbP4PODr"	1	-1
"@Delta #lostmyluggage and no one at service desk to help.  30 min wait for a rep when I call. #helpplease"	1	-1
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"@Delta I have a 10 hour journey home and you won't even offer to put me on the upgrade list. #disappointed"	1	-1
"RT @zepiiedits: bomb? @delta   FUCK YEAH BOMB DELTA TERRORISTS WIN https://t.co/D0Hv9PZ8ol"	1	-3
"@Delta I was offered DeltaComfort, tried to add it too late and now you won't honor it"	1	-1
"@Delta Awesome!"	3	-1
"@flightradar24 #DL33 is returning to LHR after more than 3hrs? @Delta"	1	-1
"RT @zepiiedits: bomb? @delta   FUCK YEAH BOMB DELTA TERRORISTS WIN https://t.co/D0Hv9PZ8ol"	1	-3
"RT @zepiiedits: bomb? @delta   FUCK YEAH BOMB DELTA TERRORISTS WIN https://t.co/D0Hv9PZ8ol"	1	-3
"@Delta I've flown with you guys 3 times and all 3 times my flight has been delayed or cancelled. 0/10 would recommend."	1	-2
"@Delta  empty words..."	1	-1
"@Delta all good, you guys are doing. Your very best to lose a long time customer"	3	-2
"Interesting business model by @DELTA : paid for first class ticket but got a seat in economy at checkin. #notsofriendlyskies"	2	-1
".@Delta to lead 24 airline relocations to new terminals at @flyLAXairport https://t.co/87yftokNlj https://t.co/JlC7Eqf4dt"	1	-1
"@Delta another great ride!   #dl3542 Detroit to Chicago on 3-24 went perfectly!   Elaine was a great steward for your company!"	3	-1
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
" 1000 dollars to give up this flight's seat! Wow!! Sana single ako  ed  U 00A0  U 00BD  ed  U 00B8  U 0085  #DeltaAir @Delta"	4	-1
"@DELTA need to change my name on yr site, you've somehow combined my middle with first name. How can I change?"	1	-1
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"RT @Kait_Nicole21: @laurenfleskes @Delta is the worst  U 2639  U FE0F  sorry to hear that! Hope y'all make it there okay"	3	-3
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"@delta missed flight cause to miss an exam; exam is once/yr. have to wait one year for the exam..."	2	-2
"@delta concerned not listening to my situation. #notamachine"	1	-2
"@delta contacted delta. Excellent to respond; but still #poorservice; waiting to address prior expressed issues"	4	-1
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"Happy birthday to the legend@DougStanhope and fuck @Delta @DeltaAssist !! #bringBingo"	2	-3
