"x"	Positive	Negative
"@WestJet any sales coming up for Winnipeg to Quebec City in June and August?? #Meetings #Conference #Wanttoflywithfriendlywestjet"	1	-1
"RT @the_beans: Well. If you need more reasons to travel with @WestJet just read this response from @AirCanada \"Customer Service\" https://t. "	1	-1
"@PaulLetourneau @WestJet how to know? Check for 800 series plane! ;-)"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/vZkvEdv8xi via @PETA"	1	-1
"Our @WestJet chariot has arrived!  Looking forward to another great Westjet day! https://t.co/GSVyQ7twrI"	3	-1
"Wow @WestJet Customer Service can't be beat!  U 2708  U FE0F "	3	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/hjTIGyVfm6 via @PETA"	1	-1
"RT @FabChanner: When your friend is on a #yeg layover, you bring him for a float @moderngravity  ed  U 00A0  U 00BC  ed  U 00BC  U 008A The ultimate crew rest &amp; reset ed  U 00A0  U 00BD  ed  U 00B1  U 008C  @WestJet # "	2	-1
"@WestJet Please don't support Seaworld. Captive cetaceans are extremely intelligent, sentient beings. They suffer immensely! #EmptyTheTanks"	4	-4
"Beautiful morning in #psp #hummingbird   Thanks for the ride @WestJet https://t.co/kWLNbR1oAx"	3	-1
"@WestJet I realise prices can change quickly but you do not update those prices on the front page until hours or days later which is illegal"	1	-2
"RT @lfnic85: Just flown from Calgary to London and wanted to commend @WestJet with great service. Very much enjoyed the experience - thank "	3	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/cFtsbILZ6h via @PETA"	1	-1
"RT @benfaster: Thanks @westjet for nice flight to #YLW #Kelowna. Excited for first day of #GatheringOurVoices #FirstNations youth conferenc "	3	-1
"@WestJet @GailVazOxlade I guess they aren't using cash jars for circumstances like this!"	2	-1
"@WestJet just annoyed being promised something and then it didn't happen. Especially when we were trying to check in and it said couldn't."	2	-2
"@WestJet sent you the information. If it can be fixed then we would be happy again and wouldn't ignore westjet for our next travel."	2	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/pjqiXNEETZ via @PETA"	1	-1
"@WestJet I have. They only see the true price in their system. Not surprising considering the web pricing is intentionally wrong"	2	-2
"@WestJet  ed  U 00A0  U 00BD  ed  U 00B8  U 00AD  shame. We were looking forward to trying out the 767 and West Jet Plus for the first time."	1	-3
"@WestJet was about to complain yesterday until again helped on phone with San Diego to Calgary flight until we get to airport &amp; have issues"	1	-2
"@WestJet we are not waiting at airport for trip to Calgary and from Calgary to Victoria today."	1	-1
"@WestJet they also said we can ask agent at airport to unlock locked seats but when we went there were non available and we showed up 3h 1/2"	1	-1
"@WestJet I called and was told had to do check in at airport and was given no other option."	1	-1
"@WestJet Not true. I've seen the price remain cheaper for hours or even days on the first page. Been happening for the last year."	1	-2
"RT @allanimalrights: Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/swrJZfDAgq via @PETA"	1	-1
"@WestJet also had to argue to get a seat beside my wife. Poor customer service. Paying more to avoid westjet is my option for next time."	1	-2
"@WestJet will pay more to avoid flying with airline again. Was unable to check in do to system glitch and couldn't pick seat. 1/2"	1	-2
"@WestJet we got thru with plenty of time!  Thanks!!!"	3	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/hJkCZQSJE4 via @PETA"	1	-1
"RT @GailVazOxlade: Okay @WestJet It's been a month. When are you going to send me back the    I spent when you LOST my luggage on vacay? Wh "	1	-1
"@WestJet as I assumed. Ticketing 4 flights all leaving in 1.2 Hours with minimal ticketing agents w'd always cause this delay. TSA cleared"	1	-2
"@WestJet sorry I normally flight WestJet on Friday/Sunday to FLL/Yow. Frustrated Ticket agent explained Saturdays always this bad."	1	-3
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/aFIZSo2Zk2 via @PETA"	1	-1
"Things that make go go hmmm...@WestJet flight attendant took a 500ml water bottle through security @FlyEIA #noquestionsask"	2	-1
"@GailVazOxlade @WestJet That's ridiculous, @WestJet. Give Gail back her money now!"	1	-3
"RT @GailVazOxlade: Okay @WestJet It's been a month. When are you going to send me back the    I spent when you LOST my luggage on vacay? Wh "	1	-1
"@WestJet I've taking WS1289 flight often - this has never happened. Usually a few minute process."	1	-1
"@WestJet @YWGairport @yxxairport"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/EYxnDseoFc via @PETA"	1	-1
"@WestJet thanks. My anxiety level is high."	2	-3
"@WestJet are 'live animal' stickers available at the airport checkin for kennels being checkes"	1	-1
"@WestJet WS1289 boards in an Hour. Still here. Please help. https://t.co/wWe0ZExsZ0"	2	-1
"@WestJet Still long line 4 flights	1	-1
Toronto	1	-1
Montreal 	1	-1
Winnipeg 	1	-1
Ottawa	1	-1
Ticketing only 2 agents. 	1	-1
All these flights l  https://t.co/gh8OU51EsX"	1	-1
"@WestJet u need more tikt agents at FLL, in line 45 min &amp; haven't moved *sob*!"	1	-5
"Who's excited that you can now redeem @WestJet  companion vouchers online? https://t.co/9D86q4epRG #westjet #rbc"	3	-1
"RT @WestJet: @GailVazOxlade Please check the latest message in the online portal: https://t.co/ylBtu2lyV4 as the attachments weren't receiv "	2	-1
"RT @GailVazOxlade: Okay @WestJet It's been a month. When are you going to send me back the    I spent when you LOST my luggage on vacay? Wh "	1	-1
"Hanging out at #Pearson airport with @Nathan_Sells on our way to @CREA_ACI AGM in #Ottawa. Flying @WestJet today!  https://t.co/Wwk6uAiBGX"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/OnenC5GWMD via @PETA"	1	-1
"@WestJet trying to get boarding pass WS1289. Waiting in line for an hour. Long way to go. Not enough agents. Flight  https://t.co/oO8KPQ3TBS"	1	-1
"RT @WestJet: 9 facts you may not know about #StPatricksDay! https://t.co/Sy62vdM4TK (via @GoToIrelandCA) https://t.co/vTAHr9AwuA"	1	-1
"RT @julianpsihogios: Yo @WestJet No outlets? You're makin' me cry."	1	-4
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/zJJh7EpCsg via @PETA"	1	-1
"Ah @WestJet , you'll babysit a turtle but you won't let me run from gate 12 to the Plaza lounge at @FlyEIA to get my iPad... thanks."	2	-1
"My #Nepal adventure is nearly at end, tomorrow I fly back to #yeg @macsadventure @ChinaSouthernCA @WestJet #amazingtime"	1	-1
"@WestJet you're welcome."	2	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/KrcpZlFgrm via @PETA"	1	-1
"Yo @WestJet No outlets? You're makin' me cry."	1	-4
"Okay @WestJet It's been a month. When are you going to send me back the    I spent when you LOST my luggage on vacay? When?"	1	-1
"@WestJet thanks for the speedy response!"	2	-1
"When your friend is on a #yeg layover, you bring him for a float @moderngravity  ed  U 00A0  U 00BC  ed  U 00BC  U 008A The ultimate crew rest &amp; reset ed  U 00A0  U 00BD  ed  U 00B1  U 008C   https://t.co/tiNt4vhlE4"	2	-1
"@WestJet staff doesn't get it. Very bad. No apologies, just explanation how we could call to get our 50 bucks back - retraining needed"	1	-3
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/RksGU4jZxI via @PETA"	1	-1
"@WestJet is it possible to find out if westjet connect or seat back TVs are on my flight tomorrow?  WJ 1564, yyc to san"	1	-1
"@WestJet it was an ugly scene."	1	-3
"@WestJet another big scene when rep explains why, i told him it's not about payment and he kept pushing we didn't pay.."	1	-1
"@WestJet looked very bad on the plane - bug scene, moving all our stuff. Horrible management - could have refunded other people"	1	-4
"@WestJet they explained someone else \"paid\"we were already in our seats and when we checked in wanted to pay she gave us the seats"	1	-1
"@WestJet, with my wife and baby, yyz to Tampa, paid for upgrade, boarding pass for 2nd row, moved mdle seat row 8 #horribleservice #westjet"	2	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/i2TM0Ayha6 via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/zLl6lukW99 via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/Xw8UR1yRJY via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/pYLMRFK9t2 via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/xAOUR0EAo3 via @PETA"	1	-1
"RT @PaulineMcIntyr7: Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/cmGibkhoa4 via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/ey3wDTsVLo via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/X8YaXMD0Ki via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/cnzdJXWM0H via @PETA"	1	-1
"Life hack: download the @WestJet #Connect app before you board the plane and they are ready to push back..."	1	-2
"Really hoping @WestJet can give us a magic miracle. Crossing fingers.  U 2728  ed  U 00A0  U 00BD  ed  U 00B2  U 0095 "	3	-1
"RT @WestJet: Introducing our newest custom-painted aircraft, inspired by Disney's Frozen http://t.co/OfLa6z6pCM http://t.co/uUYPeGf5t1"	3	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/iZjGuy3SwU via @PETA"	1	-1
"RT @allanimalrights: Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/swrJZfDAgq via @PETA"	1	-1
"RT @WestJet: Introducing our newest custom-painted aircraft, inspired by Disney's Frozen http://t.co/OfLa6z6pCM http://t.co/uUYPeGf5t1"	3	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/8QW8cvKbuL via @PETA"	1	-1
"RT @HapeltCraig: #sunwing looses. glad some got on @westjet flight.ther cancun delay torture....they seem to have fewer #drunk #pilots than "	2	-4
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/Cepm6wIp40 via @PETA"	1	-1
"RT @allanimalrights: Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/swrJZfDAgq via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/Ykl7pkPQHK via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/RWFeqJbCpu via @PETA"	1	-1
"RT @allanimalrights: Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/swrJZfDAgq via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/swrJZfDAgq via @PETA"	1	-1
"@WestJet Charging C 25 for hold baggage on every sector, be it 800 or 8000 miles is daylight robbery. FREE Meals on Transatlantic flights?"	1	-2
"@TheSun @WestJet Since laptops &amp; other electronic equipment could be banned on flights to &amp; from Canada, you better introduce TV monitors!"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/WgwfXvTJ3y via @PETA"	1	-1
"RT @RitzerCameron: Upgraded to @WestJet Plus from Ottawa to Winnipeg last week, and hoping to do it again to TO in May. #customerserviceori "	2	-1
"Upgraded to @WestJet Plus from Ottawa to Winnipeg last week, and hoping to do it again to TO in May. #customerserviceorientated #excellence"	2	-1
"RT @pamradford47: Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/KX4ucKbuTt via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/KX4ucKbuTt via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/OaqLRACexA via @PETA"	1	-1
"RT @Osterkatze666: Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/hp7O88Ilxp via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/hp7O88Ilxp via @PETA"	1	-1
"I liked a @YouTube video from @keesdenhartigh https://t.co/cGGx9DqbYW Hilarious @Westjet cabin crew #yvr #yeg"	3	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/wgYYvMlS8i via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/vdoPxpOCWB via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/FHh8noYUZA via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/KCWCI91JqI via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/0lFl9HfjyM via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/vB8u5psvbQ via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/lP9EqBBiez via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/o28PQUffSC via @PETA"	1	-1
"RT @pakstartv: #FlightDeck of @WestJet 737-800 #beauty #sunnyday at @TorontoPearson  ed  U 00A0  U 00BD  ed  U 00B8  U 008E  https://t.co/ujR1N95s4L"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/Yy39682tJ6 via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/uQ2n7iXcPD via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/jjPDHOpzTt via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/nxVT4x9L1H via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/uCw6mVByVH via @PETA"	1	-1
"@WestJet I hope my comments help other passengers avoid the chaos!"	3	-2
"@WestJet I just got home, and I have to say I'm glad! Thanks for taking the time to reply and listen."	2	-1
"@WestJet when I approached the security guard asking to skip the line since my flight was boarding, he said to ask the people in line!  ed  U 00A0  U 00BE  ed  U 00B4  U 00A6  ed  U 00A0  U 00BC  ed  U 00BF  U 00BB  U 200D  U 2640  U FE0F "	2	-1
"@WestJet security lines were really long and only one line and three security guards... plus not all were in uniform. In one word chaotic"	2	-2
"@WestJet The luggage took forever to come out on the carrousel. Three flights per carrousel! Too much! And then cross the airport to connect"	1	-2
"@WestJet oh and the one bottle that I packed in my luggage broke  ed  U 00A0  U 00BD  ed  U 00B8  U 0093 "	1	-2
"@WestJet is the first time I don't receive any instructions before a connection plus with the mess at the airport they were necessary."	1	-1
"@WestJet I mean I checked the bag alright"	1	-1
"@WestJet but it would be good to mention it to passengers since you leave the secured area to pick up and drop off luggage."	2	-2
"@WestJet there was no warning about it, nobody said to put them in the luggage before dropping off. I don't blame WestJet. Pearson is a mess"	2	-1
"@WestJet I. Hacked the bag alright, it was the security check after dropping off that took my items."	2	-1
"#sunwing looses. glad some got on @westjet flight.ther cancun delay torture....they seem to have fewer #drunk #pilots than #sunwing."	2	-4
"@WestJet has pulled through. We're officially on a plane to head back to #Toronto. I know I'll be kissing the ground. #sunwing #travel"	3	-1
"Thanks @WestJet for a smooth roundtrip YVR-PVR. Your crew were professional, courteous and pleasant, setting us up  https://t.co/zONS1UClSD"	3	-1
